Sl No,End-1,End-2,Id,Line Owner,End-1 Owner,End-2 Owner,Km,Conductor Type,SIL,No Load MVAR Generated,End1 LR MVAR,End1 LR S/W,End2 LR MVAR,End2 LR S/W,End 1 Over Voltage Stage 1,End 1 Over Voltage Stage 2,End 2 Over Voltage Stage 1,End 2 Over Voltage Stage 2,,,,,,,End-1 240 MVAR SLR,End-1 240 MVAR NSLR,End-1 330 MVAR SLR,End-1 330 MVAR NSLR,End-2 240 MVAR SLR,End-2 240 MVAR NSLR,End-2 330 MVAR SLR,End-2 330 MVAR NSLR
40,Pune-PG(Shikrapur),Solapur-PG,1,WRTS-1,WRTS-1,WRTS-1,270,Quad Bersimis,2194,635,240,Yes,240,Yes,110 %-7 Sec,140 %-0.15 Sec,110 %-7 Sec,140 %-0.15 Sec,,,,,,,1,0,0,0,1,0,0,0
41,Raigarh-PS(Kotra),Raipur-PS(Durg),1,WRTS-1,WRTS-1,WRTS-1,235,Hexa Zebra,2470,625,240,Yes,240,-,110 %-5 Sec,140 %-0.15 Sec,110 %-5 Sec,140 %-0.15 Sec,,,,,,,1,0,0,0,0,1,0,0
42,Raigarh-PS(Kotra),Raipur-PS(Durg),2,WRTS-1,WRTS-1,WRTS-1,235,Hexa Zebra,2470,625,240,Yes,240,-,107 % -5 Sec,150 %-0.1 Sec,107 % -5 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,0,1,0,0
43,Raigarh-PS(Kotra),Tamnar,1,WRTS-1,WRTS-1,WRTS-1,48,Hexa Zebra,2470,128,-,-,-,-,108 %-5 Sec,150 %-0.1 Sec,108 %-5 Sec,150 %-0.1 Sec,,,,,,,0,0,0,0,0,0,0,0
44,Raigarh-PS(Kotra),Tamnar,2,WRTS-1,WRTS-1,WRTS-1,48,Hexa Zebra,2470,128,-,-,-,-,107 %-7 Sec,150 %-0.1 Sec,107 %-7 Sec,150 %-0.1 Sec,,,,,,,0,0,0,0,0,0,0,0
45,Raigarh-PS(Kotra),Champa ,1,WRTS-1,WRTS-1,WRTS-1,96,Quad Bersimis,2194,226,-,-,-,-,108 %-5Sec,150 %-0.1 Sec,109 %-5Sec,150 %-0.1 Sec,,,,,,,0,0,0,0,0,0,0,0
46,Raipur-PS(Durg),Champa ,1,WRTS-1,WRTS-1,WRTS-1,153,Quad Bersimis,2194,360,240,Yes,-,-,109 %-6 Sec,150 %-0.1 Sec,109 %-7 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,0,0,0,0
47,Sasan,Satna,1,WRTS-2,SPL,WRTS-2,246,Quad Bersimis,2194,578,240,Yes,240,-,108 %-5Sec,150 %-0.1 Sec,108 %-5 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,0,1,0,0
48,Sasan,Satna,2,WRTS-2,SPL,WRTS-2,243,Quad Bersimis,2194,571,240,Yes,240,-,109 %-8 Sec,150 %-0.1 Sec,108 %-5 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,0,1,0,0
49,Sasan,Vindhyachal-PS,1,WRTS-2,WRTS-2,WRTS-2,6,Quad Bersimis,2194,14,-,-,-,-,110 %-5 Sec,150 %-0.1 Sec,109 %-5 Sec,150 %-0.1 Sec,,,,,,,0,0,0,0,0,0,0,0
