Sl No,End-1,End-2,Id,Line Owner,End-1 Owner,End-2 Owner,Km,Conductor Type,SIL,No Load MVAR Generated,End1 LR MVAR,End1 LR S/W,End2 LR MVAR,End2 LR S/W,End1 50 MVAR SLR,End1 50 MVAR NSLR,End1 63 MVAR SLR,End1 63 MVAR NSLR,End1 80  MVAR SLR,End1 80 MVAR NSLR,,End2 50 MVAR SLR,End2 50 MVAR NSLR,End2 63 MVAR SLR,End2 63 MVAR NSLR,End2 80  MVAR SLR,End2 80 MVAR NSLR
108,Damoh,Katni,1,MPPTCL,WRTS-2,MPPTCL,118,Twin ACSR Moose,517,65.49,50,-,-,-,0,1,0,0,0,0,,0,0,0,0,0,0
109,DB-Power,Raigarh-PS(Kotra),1,DB-Power,DB-Power,WRTS-1,18,Twin ACSR Moose,517,9.99,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
110,DB-Power,Raigarh-PS(Kotra),2,DB-Power,DB-Power,WRTS-1,18,Twin ACSR Moose,517,9.99,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
111,Dehgam,Gandhar,1,WRTS-2,WRTS-2,NTPC,157,Twin ACSR Moose,517,87.135,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
112,Dehgam,Gandhar,2,WRTS-2,WRTS-2,NTPC,157,Twin ACSR Moose,517,87.135,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
113,Dehgam,Pirana-PG,1,WRTS-2,WRTS-2,WRTS-2,56,Twin ACSR Moose,517,31.08,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
114,Dehgam,Pirana-PG,2,WRTS-2,WRTS-2,WRTS-2,56,Twin ACSR Moose,517,31.08,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
115,Dehgam,Sami,1,ATIL,WRTS-2,ATIL,152,Twin ACSR Moose,517,84.36,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
116,Dehgam,Sami,2,ATIL,WRTS-2,ATIL,152,Twin ACSR Moose,517,84.36,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
117,Dehgam,Ranchodpura,1,GETCO,WRTS-2,GETCO,62,Twin ACSR Moose,517,34.41,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
118,Dehgam,Ranchodpura,2,GETCO,WRTS-2,GETCO,62,Twin ACSR Moose,517,34.41,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
119,Dehgam,Wanakbori,1,WRTS-2,WRTS-2,GETCO,68,Twin ACSR Moose,517,37.74,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
120,Dharamjaygarh,Balco,1,BALCO,WRTS-1,BALCO,23.2,Twin ACSR Moose,517,12.876,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
121,Dharamjaygarh,Balco,2,BALCO,WRTS-2,BALCO,23.2,Twin ACSR Moose,517,12.876,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
122,Dhariwal,Parli-PG,1,WRTS-1,Dhariwal Infra,WRTS-1,390,Twin ACSR Moose,517,216.45,-,-,63,-,0,0,0,0,0,0,,0,0,0,1,0,0
123,Dhule-BDTCL,Dhule-MS,1,BDTCL,BDTCL,MSETCL,18,Twin ACSR Moose,517,9.99,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
124,Dhule-BDTCL,Dhule-MS,2,BDTCL,BDTCL,MSETCL,18,Twin ACSR Moose,517,9.99,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
125,Dhule-MS,Bableshwar,1,MSETCL,MSETCL,MSETCL,170,Twin ACSR Moose,517,94.35,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
